"fieldingTeam","n()","expected_ba","actual_ba"
"ARI",961,0.387096774193548,0.363163371488033
"ATL",923,0.257854821235103,0.357529794149512
"BAL",834,0.359712230215827,0.341726618705036
"BOS",881,0.28149829738933,0.333711691259932
"CHC",740,0.274324324324324,0.290540540540541
"CIN",953,0.301154249737671,0.320041972717733
"CLE",884,0.330316742081448,0.305429864253394
"COL",961,0.381893860561915,0.347554630593132
"CWS",933,0.360128617363344,0.321543408360129
"DET",926,0.41792656587473,0.333693304535637
"HOU",974,0.317248459958932,0.331622176591376
"KC ",889,0.445444319460068,0.310461192350956
"LAA",856,0.321261682242991,0.330607476635514
"LAD",889,0.355455568053993,0.287964004499438
"MIA",894,0.42841163310962,0.331096196868009
"MIL",920,0.307608695652174,0.33804347826087
"MIN",924,0.382034632034632,0.37012987012987
"NYM",865,0.309826589595376,0.35028901734104
"NYY",875,0.332571428571429,0.329142857142857
"OAK",1026,0.358674463937622,0.330409356725146
"PHI",852,0.394366197183099,0.307511737089202
"PIT",949,0.375131717597471,0.305584826132771
"SD ",957,0.362591431556949,0.322884012539185
"SEA",868,0.379032258064516,0.305299539170507
"SF ",974,0.386036960985626,0.33264887063655
"STL",960,0.397916666666667,0.307291666666667
"TB ",878,0.279043280182232,0.312072892938497
"TEX",973,0.328879753340185,0.316546762589928
"TOR",1021,0.322233104799216,0.295788442703232
"WSH",888,0.370495495495495,0.311936936936937
